date,pnl
2021-05-04,0.09151628890118421
2021-05-05,-0.0013163029631179258
2021-05-06,-0.002103551818826274
2021-05-07,-0.007676476258261252
2021-05-10,-0.0047537723326648166
2021-05-11,0.01109995293429034
2021-05-12,-0.001515897086724774
2021-05-13,-0.008492114617848073
2021-05-14,0.01690319924875627
2021-05-17,0.008726507671474853
2021-05-18,0.0032079622307182847
2021-05-19,0.0031931100039305064
2021-05-20,0.0038652821317407254
2021-05-21,0.005776857731255738
2021-05-24,0.0048857292396770795
2021-05-25,0.0016371428762326783
2021-05-26,-0.006254982404174774
2021-05-27,-0.017920362311400696
2021-05-28,0.01120646835258467
2021-06-01,-0.0031859147150636383
2021-06-02,0.006544862034739628
2021-06-03,0.0021523316420807717
2021-06-04,0.005940275786011258
2021-06-07,-0.003952334533777512
2021-06-08,0.002055653443857823
2021-06-09,0.001803479822286722
2021-06-10,0.014637305354693937
2021-06-11,0.006042958463604005
2021-06-14,0.01785970670971792
2021-06-15,0.001973934347781677
2021-06-16,0.010449487506746421
2021-06-17,0.011630548471758078
2021-06-18,0.0019855703897324753
2021-06-21,-0.02322987520560171
2021-06-22,0.009687713533475384
2021-06-23,0.0068634448173083284
2021-06-24,-0.0039209000060184615
2021-06-25,-0.0005530768675308933
2021-06-28,0.0011581622495730824
2021-06-29,0.007823629611968731
2021-06-30,-0.009351502987419241
2021-07-01,0.0021313096459471656
2021-07-02,0.0018254428076326511
2021-07-06,0.0025011213275372016
2021-07-07,0.019681298739112646
2021-07-08,-0.0037543784151249124
2021-07-09,0.0002913000762416508
2021-07-12,-0.008384571480040097
2021-07-13,0.01510125700939649
2021-07-14,-0.022300248587024445
2021-07-15,-0.014675955779839156
2021-07-16,0.0037556323678074014
2021-07-19,-0.003128213275671786
2021-07-20,0.0029144731417024743
2021-07-21,-0.0062656034121041
2021-07-22,-0.0012400952445877436
2021-07-23,-0.009813231613404132
2021-07-26,0.005946042155124138
2021-07-27,0.0036343611130255572
2021-07-28,0.026009141226296953
2021-07-29,0.03836938625142271
2021-07-30,0.00850125543562749
2021-08-02,-0.009967376550881183
2021-08-03,-0.021567177687554902
2021-08-04,-0.040564758531666585
2021-08-05,0.015682806712663123
2021-08-06,-0.008084068510482476
2021-08-09,-0.007435318635164257
